ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/m_shop_2.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	-23.93565	-10.5	0.2	1	none(caption)	-1:-1	3
2	./Images/m_shop_4.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	-17.32663	-10.5	0.2	1	none(caption)	-1:-1	4
3	./Images/m_shop_5.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	-10.64818	-10.5	0.2	1	none(caption)	-1:-1	5
4	./Images/m_shop_6.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	-3.792803	-10.5	0.2	1	none(caption)	-1:-1	6
5	./Images/m_shop_7.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	3.334783	-10.5	0.2	1	none(caption)	-1:-1	7
6	./Images/m_shop_8.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	10.54344	-10.5	0.2	1	none(caption)	-1:-1	8
7	./Images/m_shop_9.png	-29.25,37.5,30	0,0,1	0,1,0	-1,0,0	18.21608	-10.5	0.2	1	none(caption)	-1:-1	9
10	./Images/水辺の祭祀と出雲図録-1-724x1024-1.jpg	29.25,37.5,30	0,0,-1	0,1,0	1,0,0	-19.24053	-10.5	0.2	1	Wooden_thin	-1:-1	12
11	./Images/知られざる中世都市　出雲府中-1024x729-1.jpg	29.25,37.5,30	0,0,-1	0,1,0	1,0,0	-7.166336	-10.5	0.2	1	Wooden_thin	-1:-1	13
12	./Images/HPショップ写真R2図録.jpg	29.25,37.5,30	0,0,-1	0,1,0	1,0,0	5.6538	-10.5	0.2	1	Wooden_thin	-1:-1	14
13	./Images/HPショップ写真R３図録.jpg	29.25,37.5,30	0,0,-1	0,1,0	1,0,0	18.95174	-10.5	0.2	1	Wooden_thin	-1:-1	15
15	./Images/chara.png	22.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	0.9336662	-10.5	0.2	0.6	Metal	-1:-1	17
18	./Images/cap1.png	4.908042,11.94,27.48501	0.8033375,0,0.5955241	0,1,0	-0.5955241,0,0.8033375	-4.640642	1.956002	0.2	1	Wooden_thin2	2:0	20
20	./Images/title2.png	0,37.5,59.25	1,0,0	0,1,0	0,0,1	-4.204479	1.343999	0.2	6	none(caption)	-1:-1	22
21	./Images/t5t3e1.png	0,37.5,59.25	1,0,0	0,1,0	0,0,1	-15.79309	-11.41349	0.2	2.4	Wooden_thin	-1:-1	23
