id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-0.3417473,6.921271,-22.48611	0.02356109,0,0.9997208		9.000005
2	3	1		0,6.921271,-8.364323	0.02356109,0,0.9997208		9.000005
3	4	2		0.7207372,6.75,9.585201	0.07846037,0,0.9969156		19.8
4	5	3		13.38756,6.75,15.41839	-0.6293185,0,0.7771455		21.9
5	6	4		25.97873,6.75,35.67056	-0.9999127,0,0.01309075		16.95
6	7	5		15.13856,6.75,50.5634	-0.7343226,0,-0.6787983		20.09999
7	8	6		-7.475937,6.75,52.21541	0.3189572,0,-0.9477674		15.45
8	9	7		-23.44978,6.75,29.16472	0.9960392,0,-0.08889891		12.6
9	-1	8		-2.202798,10.96312,-7.714009	0.01309529,0,0.9999127		-8.100006

